store_id	正式店名	店名かな	別名・旧名	施設区分	大ジャンル	小ジャンル	都道府県	市区町村	住所	緯度	経度	最寄駅・交通	電話番号	公式URL	食べログURL	GoogleマップURL	営業状態	予約区分	昼予算	夜予算	最終確認日	確認状態	備考
FOD-1159	リッチなカレーの店 アサノ			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 町田駅			https://tabelog.com/tokyo/A1327/A132701/13006035/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13006035 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1160	ガラムマサラ			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 経堂駅			https://tabelog.com/tokyo/A1318/A131813/13013124/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13013124 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1161	ディルセ			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 千駄ケ谷駅			https://tabelog.com/tokyo/A1309/A130901/13131028/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13131028 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1162	ニルワナム 神谷町店			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 神谷町駅			https://tabelog.com/tokyo/A1307/A130704/13019915/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13019915 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1163	サンサール 新宿店			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 東新宿駅			https://tabelog.com/tokyo/A1304/A130401/13006805/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13006805 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1164	ムルギー			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 神泉駅			https://tabelog.com/tokyo/A1303/A130301/13001732/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13001732 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1165	シバカリーワラ			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 三軒茶屋駅			https://tabelog.com/tokyo/A1317/A131706/13151738/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13151738 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1166	ハレギンザ			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 銀座駅			https://tabelog.com/tokyo/A1301/A130101/13000576/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13000576 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1167	ベンガルカレーファクトリー			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 神田駅			https://tabelog.com/tokyo/A1310/A131002/13220519/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13220519 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
FOD-1168	本石亭			飲食店	カレー	食べログ カレー 百名店 2020	東京都					東京都 新日本橋駅			https://tabelog.com/tokyo/A1302/A130202/13046781/		未確認				46232	店舗照合済	食べログ 百名店 2020 / カレー TOKYO / Tabelog ID 13046781 / https://award.tabelog.com/hyakumeiten/curry_tokyo/2020
