listing_id	category_slug	genre	region	category_ordinal	listed_name	prefecture	area_text	tabelog_url	tabelog_id	source_url	category_official_count
HYK2020-0081	bread_tokyo	パン	TOKYO	81	ブーランジェリー&カフェ マンマーノ	東京都	東京都 代々木上原駅	https://tabelog.com/tokyo/A1318/A131811/13059417/	13059417	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0082	bread_tokyo	パン	TOKYO	82	ユヌクレ	東京都	東京都 豪徳寺駅	https://tabelog.com/tokyo/A1318/A131813/13132250/	13132250	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0083	bread_tokyo	パン	TOKYO	83	セントル ザ・ベーカリー	東京都	東京都 銀座一丁目駅	https://tabelog.com/tokyo/A1301/A130101/13157424/	13157424	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0084	bread_tokyo	パン	TOKYO	84	トラスパレンテ 学芸大学	東京都	東京都 学芸大学駅	https://tabelog.com/tokyo/A1317/A131702/13129736/	13129736	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0085	bread_tokyo	パン	TOKYO	85	ピエール・ガニェール パン・エ・ガトー	東京都	東京都 六本木一丁目駅	https://tabelog.com/tokyo/A1308/A130802/13114277/	13114277	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0086	bread_tokyo	パン	TOKYO	86	TOLO PAN TOKYO	東京都	東京都 池尻大橋駅	https://tabelog.com/tokyo/A1317/A131705/13093803/	13093803	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0087	bread_tokyo	パン	TOKYO	87	シニフィアン シニフィエ 日本橋タカシマヤ店	東京都	東京都 日本橋駅	https://tabelog.com/tokyo/A1302/A130202/13054419/	13054419	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0088	bread_tokyo	パン	TOKYO	88	テコナ　ベーグルワークス	東京都	東京都 代々木公園駅	https://tabelog.com/tokyo/A1318/A131810/13061492/	13061492	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0089	bread_tokyo	パン	TOKYO	89	イトキト	東京都	東京都 大岡山駅	https://tabelog.com/tokyo/A1317/A131711/13048404/	13048404	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0090	bread_tokyo	パン	TOKYO	90	パン工房 ブランジェリーケン	東京都	東京都 下赤塚駅	https://tabelog.com/tokyo/A1322/A132204/13046260/	13046260	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0091	bread_tokyo	パン	TOKYO	91	ル パン ドゥ ジョエル･ロブション ニュウマン新宿店	東京都	東京都 新宿駅	https://tabelog.com/tokyo/A1304/A130401/13193559/	13193559	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0092	bread_tokyo	パン	TOKYO	92	ブティック・トロワグロ 小田急百貨店　新宿店	東京都	東京都 新宿駅	https://tabelog.com/tokyo/A1304/A130401/13004211/	13004211	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0093	bread_tokyo	パン	TOKYO	93	ショーマッカー	東京都	東京都 大岡山駅	https://tabelog.com/tokyo/A1317/A131711/13045113/	13045113	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0094	bread_tokyo	パン	TOKYO	94	まちのパーラー	東京都	東京都 小竹向原駅	https://tabelog.com/tokyo/A1321/A132101/13126515/	13126515	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0095	bread_tokyo	パン	TOKYO	95	パン家のどん助	東京都	東京都 東新宿駅	https://tabelog.com/tokyo/A1304/A130401/13020179/	13020179	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0096	bread_tokyo	パン	TOKYO	96	金麦	東京都	東京都 白金台駅	https://tabelog.com/tokyo/A1316/A131602/13005477/	13005477	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0097	bread_tokyo	パン	TOKYO	97	マルイチベーグル	東京都	東京都 白金高輪駅	https://tabelog.com/tokyo/A1316/A131602/13010793/	13010793	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0098	bread_tokyo	パン	TOKYO	98	SONKA	東京都	東京都 南阿佐ケ谷駅	https://tabelog.com/tokyo/A1319/A131905/13174215/	13174215	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0099	bread_tokyo	パン	TOKYO	99	ポワンエリーニュ	東京都	東京都 大手町駅	https://tabelog.com/tokyo/A1302/A130201/13038468/	13038468	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0100	bread_tokyo	パン	TOKYO	100	ヒルサイドパントリー 代官山	東京都	東京都 代官山駅	https://tabelog.com/tokyo/A1303/A130303/13002071/	13002071	https://award.tabelog.com/hyakumeiten/bread_tokyo/2020	100
HYK2020-0101	bread_east	パン	EAST	1	ブレドール	神奈川県	神奈川県 三浦郡葉山町	https://tabelog.com/kanagawa/A1406/A140602/14002514/	14002514	https://award.tabelog.com/hyakumeiten/bread_east/2020	100
HYK2020-0102	bread_east	パン	EAST	2	ベッカライ・ブロートツァイト	茨城県	茨城県 つくば市	https://tabelog.com/ibaraki/A0802/A080201/8001938/	8001938	https://award.tabelog.com/hyakumeiten/bread_east/2020	100
